date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2022-01-05,Algeria,Ghana,3.0,0.0,Friendly,Al Rayyan,Qatar,True
2022-01-09,Ethiopia,Cape Verde,0.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-10,Senegal,Zimbabwe,1.0,0.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-10,Morocco,Ghana,1.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-11,Nigeria,Egypt,1.0,0.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-11,Algeria,Sierra Leone,0.0,0.0,African Cup of Nations,Douala,Cameroon,True
2022-01-12,Equatorial Guinea,Ivory Coast,0.0,1.0,African Cup of Nations,Douala,Cameroon,True
2022-01-13,Cape Verde,Burkina Faso,0.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-14,Senegal,Guinea,0.0,0.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-14,Morocco,Comoros,2.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-14,Gabon,Ghana,1.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-15,Guinea-Bissau,Egypt,0.0,1.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-16,Colombia,Honduras,2.0,1.0,Friendly,Fort Lauderdale,United States,True
2022-01-16,Ivory Coast,Sierra Leone,2.0,2.0,African Cup of Nations,Douala,Cameroon,True
2022-01-16,Algeria,Equatorial Guinea,0.0,1.0,African Cup of Nations,Douala,Cameroon,True
2022-01-17,Cameroon,Cape Verde,1.0,1.0,African Cup of Nations,Yaoundé,Cameroon,False
2022-01-18,Malawi,Senegal,0.0,0.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-18,Gabon,Morocco,2.0,2.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-18,Ghana,Comoros,2.0,3.0,African Cup of Nations,Garoua,Cameroon,True
2022-01-19,Egypt,Sudan,1.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-20,Ivory Coast,Algeria,3.0,1.0,African Cup of Nations,Douala,Cameroon,True
2022-01-25,Morocco,Malawi,2.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-25,Senegal,Cape Verde,2.0,0.0,African Cup of Nations,Bafoussam,Cameroon,True
2022-01-26,Ivory Coast,Egypt,0.0,0.0,African Cup of Nations,Douala,Cameroon,True
2022-01-27,Jamaica,Mexico,1.0,2.0,FIFA World Cup qualification,Kingston,Jamaica,False
2022-01-27,United States,El Salvador,1.0,0.0,FIFA World Cup qualification,Columbus,United States,False
2022-01-27,Honduras,Canada,0.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,False
2022-01-27,Japan,China,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,False
2022-01-27,Australia,Vietnam,4.0,0.0,FIFA World Cup qualification,Melbourne,Australia,False
2022-01-27,Ecuador,Brazil,1.0,1.0,FIFA World Cup qualification,Quito,Ecuador,False
2022-01-27,Paraguay,Uruguay,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,False
2022-01-27,Chile,Argentina,1.0,2.0,FIFA World Cup qualification,Calama,Chile,False
2022-01-28,Colombia,Peru,0.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2022-01-30,Egypt,Morocco,2.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-30,Senegal,Equatorial Guinea,3.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-01-30,Canada,United States,2.0,0.0,FIFA World Cup qualification,Hamilton,Canada,False
2022-01-30,Mexico,Costa Rica,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False
2022-02-01,Bahrain,DR Congo,1.0,0.0,Friendly,Riffa,Bahrain,False
2022-02-01,Japan,Saudi Arabia,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,False
2022-02-01,Oman,Australia,2.0,2.0,FIFA World Cup qualification,Muscat,Oman,False
2022-02-01,Argentina,Colombia,1.0,0.0,FIFA World Cup qualification,Córdoba,Argentina,False
2022-02-01,Peru,Ecuador,1.0,1.0,FIFA World Cup qualification,Lima,Peru,False
2022-02-01,Brazil,Paraguay,4.0,0.0,FIFA World Cup qualification,Belo Horizonte,Brazil,False
2022-02-02,Burkina Faso,Senegal,1.0,3.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-02-02,United States,Honduras,3.0,0.0,FIFA World Cup qualification,Saint Paul,United States,False
2022-02-02,El Salvador,Canada,0.0,2.0,FIFA World Cup qualification,San Salvador,El Salvador,False
2022-02-02,Mexico,Panama,1.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False
2022-02-03,Cameroon,Egypt,0.0,0.0,African Cup of Nations,Yaoundé,Cameroon,False
2022-02-06,Senegal,Egypt,0.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True
2022-03-23,Guadeloupe,Cape Verde,0.0,2.0,Friendly,Orléans,France,True
2022-03-24,Mexico,United States,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False
2022-03-24,Costa Rica,Canada,1.0,0.0,FIFA World Cup qualification,San José,Costa Rica,False
2022-03-24,Australia,Japan,0.0,2.0,FIFA World Cup qualification,Sydney,Australia,False
2022-03-24,Colombia,Bolivia,3.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2022-03-24,Brazil,Chile,4.0,0.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False
2022-03-24,Paraguay,Ecuador,3.0,1.0,FIFA World Cup qualification,Ciudad del Este,Paraguay,False
2022-03-24,Portugal,Turkey,3.0,1.0,FIFA World Cup qualification,Porto,Portugal,False
2022-03-24,Sweden,Czech Republic,1.0,0.0,FIFA World Cup qualification,Stockholm,Sweden,False
2022-03-24,Wales,Austria,2.0,1.0,FIFA World Cup qualification,Cardiff,Wales,False
2022-03-25,Cameroon,Algeria,0.0,1.0,FIFA World Cup qualification,Douala,Cameroon,False
2022-03-25,DR Congo,Morocco,1.0,1.0,FIFA World Cup qualification,Kinshasa,DR Congo,False
2022-03-25,Egypt,Senegal,1.0,0.0,FIFA World Cup qualification,Cairo,Egypt,False
2022-03-25,Ghana,Nigeria,0.0,0.0,FIFA World Cup qualification,Kumasi,Ghana,False
2022-03-25,Argentina,Venezuela,3.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2022-03-25,Bosnia and Herzegovina,Georgia,0.0,1.0,Friendly,Zenica,Bosnia and Herzegovina,False
2022-03-25,Cape Verde,Liechtenstein,6.0,0.0,Friendly,San Pedro del Pinatar,Spain,True
2022-03-25,France,Ivory Coast,2.0,1.0,Friendly,Marseille,France,False
2022-03-25,Norway,Slovakia,2.0,0.0,Friendly,Oslo,Norway,False
2022-03-25,South Africa,Guinea,0.0,0.0,Friendly,Kortrijk,Belgium,True
2022-03-26,Croatia,Slovenia,1.0,1.0,Friendly,Al Rayyan,Qatar,True
2022-03-26,England,Switzerland,2.0,1.0,Friendly,London,England,False
2022-03-26,Germany,Israel,2.0,0.0,Friendly,Sinsheim,Germany,False
2022-03-26,Netherlands,Denmark,4.0,2.0,Friendly,Amsterdam,Netherlands,False
2022-03-26,Republic of Ireland,Belgium,2.0,2.0,Friendly,Dublin,Republic of Ireland,False
2022-03-26,Spain,Albania,2.0,1.0,Friendly,Barcelona,Spain,False
2022-03-27,Canada,Jamaica,4.0,0.0,FIFA World Cup qualification,Toronto,Canada,False
2022-03-27,Honduras,Mexico,0.0,1.0,FIFA World Cup qualification,San Pedro Sula,Honduras,False
2022-03-27,United States,Panama,5.0,1.0,FIFA World Cup qualification,Orlando,United States,False
2022-03-28,Cape Verde,San Marino,2.0,0.0,Friendly,San Pedro del Pinatar,Spain,True
2022-03-29,Algeria,Cameroon,1.0,2.0,FIFA World Cup qualification,Blida,Algeria,False
2022-03-29,Morocco,DR Congo,4.0,1.0,FIFA World Cup qualification,Casablanca,Morocco,False
2022-03-29,Nigeria,Ghana,1.0,1.0,FIFA World Cup qualification,Abuja,Nigeria,False
2022-03-29,Senegal,Egypt,1.0,0.0,FIFA World Cup qualification,Diamniadio,Senegal,False
2022-03-29,Japan,Vietnam,1.0,1.0,FIFA World Cup qualification,Saitama,Japan,False
2022-03-29,Saudi Arabia,Australia,1.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
2022-03-29,Ecuador,Argentina,1.0,1.0,FIFA World Cup qualification,Guayaquil,Ecuador,False
2022-03-29,Peru,Paraguay,2.0,0.0,FIFA World Cup qualification,Lima,Peru,False
2022-03-29,Bolivia,Brazil,0.0,4.0,FIFA World Cup qualification,La Paz,Bolivia,False
2022-03-29,Venezuela,Colombia,0.0,1.0,FIFA World Cup qualification,Guayana,Venezuela,False
2022-03-29,Poland,Sweden,2.0,0.0,FIFA World Cup qualification,Chorzów,Poland,False
2022-03-29,Portugal,North Macedonia,2.0,0.0,FIFA World Cup qualification,Porto,Portugal,False
2022-03-29,Austria,Scotland,2.0,2.0,Friendly,Vienna,Austria,False
2022-03-29,Belgium,Burkina Faso,3.0,0.0,Friendly,Anderlecht,Belgium,False
2022-03-29,Bosnia and Herzegovina,Luxembourg,1.0,0.0,Friendly,Zenica,Bosnia and Herzegovina,False
2022-03-29,Croatia,Bulgaria,2.0,1.0,Friendly,Al Rayyan,Qatar,True
2022-03-29,England,Ivory Coast,3.0,0.0,Friendly,London,England,False
2022-03-29,France,South Africa,5.0,0.0,Friendly,Villeneuve-d'Ascq,France,False
2022-03-29,Netherlands,Germany,1.0,1.0,Friendly,Amsterdam,Netherlands,False
2022-03-29,Norway,Armenia,9.0,0.0,Friendly,Oslo,Norway,False
2022-03-29,Spain,Iceland,5.0,0.0,Friendly,A Coruña,Spain,False
2022-03-29,Switzerland,Kosovo,1.0,1.0,Friendly,Zürich,Switzerland,False
2022-03-30,Mexico,El Salvador,2.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False
2022-03-30,Costa Rica,United States,2.0,0.0,FIFA World Cup qualification,San José,Costa Rica,False
2022-03-30,Panama,Canada,1.0,0.0,FIFA World Cup qualification,Panama City,Panama,False
2022-04-27,Mexico,Guatemala,0.0,0.0,Friendly,Orlando,United States,True
2022-05-28,Mexico,Nigeria,2.0,1.0,Friendly,Arlington,United States,True
2022-06-01,Italy,Argentina,0.0,3.0,CONMEBOL–UEFA Cup of Champions,Paris,France,True
2022-06-01,Ghana,Madagascar,3.0,0.0,African Cup of Nations qualification,Cape Coast,Ghana,False
2022-06-01,Australia,Jordan,2.0,1.0,Friendly,Al Wakrah,Qatar,True
2022-06-01,United States,Morocco,3.0,0.0,Friendly,Cincinnati,United States,False
